"p_id","cellSize","Vimentin","SMA","Lag3","CD4","CD16","CD56","PD1","CD31","Ki67","CD209","CD11c","CD138","CD68","CSF-1R","CD8","CD3","IDO","Keratin17","CD63","CD45RO","CD20","p53","Beta catenin","HLA-DR","CD11b","CD45","H3K9ac","Pan-Keratin","H3K27me3","phospho-S6","MPO","Keratin6","HLA_Class_1","tumorYN","B7H3","FoxP3","OX40","PD-L1","EGFR","CD163"
"p1",0.202297919595664,0.242416794643816,0.263146569086089,0.0487482993514509,0.245768956526037,0.147742448092406,0.0936049322955242,0.204468123473336,0.229602004790382,0.0882017792687952,0.407050694491672,0.198661920853459,0.397541317457804,0.182926021266081,0.264185484663232,0.179491541063136,0.262005977820461,0.059243051742505,0.0225359372154633,0.207756147159508,0.220885077749306,0.696575947175593,0.107435853042941,0.111594716686069,0.395620889519322,0.100172824994136,0.452744079120979,0.378002015177947,0.289998879075334,0.36264938670289,0.394592651355627,0.104697323589789,0.292506440282985,0.600277697274472,0.316829353661858,NA,NA,NA,NA,NA,NA
"p10",0.224871783829693,0.497914793038318,0.45005242478641,0.229010371114839,0.255618773942963,0.452346048525518,0.0888949395986815,0.187677810594235,0.213627141189877,0.193971144341098,0.309144982224268,0.385425938017451,0.460319380710675,0.295969635422933,0.329595607152943,0.216286421955874,0.203221342512061,0.342912391500733,0.325112063437364,0.34490062559247,0.372800107772625,0.198259179691459,0.120722775893476,0.507517191077668,0.455148889841899,0.342138063979564,0.435062990714565,0.376113216849208,0.572085300422574,0.507950058783436,0.434436308893559,0.217543074833337,0.555151634948436,0.595199630445206,0.467110763517576,0.0505139882843034,0.0922098658456093,0.055531404784011,0.364381228345937,0.421717265714861,0.0991106352692943
"p11",0.0626882208499325,0.31960663173677,0.393707915027889,0.0697537699363275,0.187149018844118,0.297377511287562,0.110804398057972,0.106093723562553,0.239712485605298,0.247893978308997,0.219730351174835,0.270818213570199,0.124931389412516,0.180272522053777,0.196448900203963,0.153449071203513,0.145996480971524,0.112563359666554,0.289467781232385,0.145360071320267,0.28710536486536,0.0815736903954965,0.14330528981937,0.375183997312821,0.504896971753373,0.138013123678005,0.316972778782784,0.274413233343421,0.378419841507974,0.254059495570931,0.29123357925893,0.193123856032037,0.409854758606436,0.38727805214074,0.222951856810576,NA,0.0539960253390035,0.0123453117917248,0.266798854692971,0.382709372615131,-0.000376733920745815
"p12",0.0825037789685033,0.400731657945789,0.392627717249213,0.144007326205611,0.366895275990376,0.398106954567754,0.0377484404398306,0.198781848193847,0.25560703631285,0.164446010568901,0.0658287485682194,0.399939026419355,0.198366261737802,0.303131982562403,0.426813133879605,0.252385151048565,0.379596279456275,0.36666139838808,0.148799438639403,0.250395377093471,0.392084825521775,0.339527203382922,0.413546909794946,0.430490786927573,0.457122207842043,0.308908600064593,0.432404245797011,0.353153174688433,0.421972080885639,0.272877612230546,0.376562956607991,0.253792110802729,0.387277738846195,0.415099728659341,0.334668612492226,0.00137682894142388,0.062683966196119,0.122042250204201,0.348465135512461,0.227413544333008,0.108690496442119
"p13",0.102719415182129,0.465453990866044,0.564634704267852,0.0861986114361853,0.317899528135398,0.263019468046088,0.187247204334994,0.180661100305728,0.252770211473136,0.266733641736445,0.350139861046808,0.339021961190619,0.276528479455571,0.295567659436581,0.360104357349856,0.287929498952035,0.355990902236952,0.352191139560123,0.176841996422172,0.360789070876182,0.390077146408579,0.289883698169303,0.172812231815117,0.583063258690584,0.405814472082038,0.237966865976596,0.499252945980682,0.313762508278271,0.518038040358486,0.298335288912236,0.490295720388182,0.206046671525198,0.475044536354825,0.529436597872935,0.49104018934765,NA,0.110827358175466,0.0845513006630488,0.315616609733585,0.401062643087378,0.132789277348447
"p14",0.0663530090511674,0.533230191113817,0.493362738684401,0.125896892158271,0.42495149040993,0.356375849085487,0.323031268349638,0.198536712000034,0.291234530128154,0.192446226080173,0.00377964602817489,0.598637380824574,0.205728398945401,0.406466540489028,0.443983781006719,0.234388711402146,0.308134306360719,0.229305910614123,0.1375239269339,0.35960100797681,0.423028789648481,0.244774132385952,0.357918244077539,0.490309563805253,0.545442543914846,0.203592035958244,0.471302494307841,0.372403331031747,0.428112261737503,0.338007741040918,0.469972448510393,0.291149586663436,0.469840102762485,0.556976873678028,0.382025790392785,NA,0.0485308284802714,0.152752380653872,0.266283063771616,0.257120699387317,0.0399114799535561
"p18",0.0800223122443526,0.202329408965702,0.282004151898897,0.0780545755759774,0.0973601553646137,0.231193483944662,0.263336539580462,0.0546392796335958,0.157809004003097,0.230387498565915,0.0392685202186347,0.21775503150352,0.255810064125406,0.166603815976233,0.182276394649416,0.118736876695401,0.093647417515841,0.203741798897531,0.25724740871489,0.13792946761611,0.179948404309951,0.248834148914836,0.122947485142606,0.292755164946896,0.294888407441167,0.0468524160497343,0.240568396454748,0.30152792633543,0.254972315141499,0.286346105654514,0.327801330151787,0.150335052536837,0.307244685204098,0.468581814000931,0.1652903731844,0.0383600190709479,-0.000472178955628319,0.101763751245283,0.150631614120833,0.333179749156685,0.118117883120487
"p19",0.0450908370640789,0.533123368801304,0.409851551981971,NA,0.140207517626278,0.273145435794087,0.391226723002654,0.00641960311132189,0.237977448615384,0.133324289140684,NA,0.324967467182629,0.461631527416786,0.261632424258699,0.122275137344321,0.20763220387804,0.299896728747466,0.236908452692352,0.196247017991772,0.228917141058071,0.332034583469366,0.324803831170944,0.377598865982496,0.365642249420536,0.495667683106025,-0.000219738410762918,0.318745103478194,0.501162391863264,0.320265283184211,0.413407321832926,0.391693669335113,0.000120832596430256,0.304405927475897,0.56624311551587,0.296970507228141,0.10050966542325,NA,0.144428972722603,0.0126215076651548,0.0160047529623206,0.155799265209676
"p2",0.0433883873345533,0.214588032255557,0.414722867068173,0.109713824830364,0.151399928596347,0.234692183376925,0.0673025861854515,0.0449142466874714,0.177717103566698,0.134259191276434,0.219101744467933,0.176795270973126,0.00770016649553231,0.166670824732867,0.238640651668689,0.185003252981416,0.163475240990771,0.154085873716763,-0.001075376967867,0.0667200803167414,0.219189662661349,0.146112678920807,0.0982581335125376,0.274003018624558,0.288274558878995,0.230006312454131,0.261139541129252,0.233616046382568,0.118674465077012,0.200853894545171,0.219542644815604,0.150917369039968,0.266339425921338,0.334275093227317,0.20510385583047,NA,NA,-0.000451492126417795,0.342453568534994,0.333832452209368,0.0675125083191734
"p20",0.0531538884126251,0.254837024756269,0.373937135131305,0.0732568095602814,0.160695019047051,0.276203124677947,NA,0.134702277743341,0.190621629343846,0.112419116125132,NA,0.348453923245348,0.0817091686425395,0.504042967298323,0.23150871069976,0.185217674112682,0.206776609147419,0.480558768333068,0.0980087766869802,0.241073710965424,0.339276550703877,0.23849545985367,0.365643958162565,0.647275206121871,0.387900341839359,0.285138679411563,0.426804301442761,0.522239135415707,0.368586149446498,0.418306645355306,0.443729928114273,0.603010846673237,0.477598867905004,0.700892878469801,0.35464504833826,-0.000186201489611917,0.213668300026676,0.0923553514530518,0.421256335518306,0.626533269123597,0.260133300006032
